Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
ManuelSanchez;555;MEX;26;1991.01.05;76;183;1-2;0;6,233;320;2-3;0;103,983
JonasMerckx;556;BEL;24;1993.10.04;78;173;0-0;0;8,977;481;0-0;0;38,105
MakotoOchi;557;JPN;21;1996.05.03;65;175;0-0;0;10,040;370;0-0;0;35,848
MaciejRajski;558;POL;26;1991.05.03;80;193;0-0;0;9,556;532;0-0;0;27,413
DavideGaloppini;559;ITA;23;1994.10.24;68;178;0-0;0;11,791;548;0-0;0;27,681
AlexanderVasilenko;560;RUS;22;1995.02.26;;;0-0;0;11,442;441;0-0;0;46,780
MartinsPodzus;561;LAT;23;1994.06.29;87;191;1-2;0;10,043;437;7-8;0;37,792
RaulBrancaccio;562;ITA;20;1997.05.04;;;0-0;0;5,255;427;0-0;0;25,121
MarceloTomasBarriosVera;563;CHI;20;1997.12.10;83;;0-0;0;2,285;380;0-0;0;29,120
FinnTearney;564;NZL;27;1990.09.27;80;183;0-3;0;13,804;356;2-4;0;64,168
JeroenVanneste;565;BEL;23;1994.01.17;;;0-0;0;3,123;456;0-0;0;27,436
RudolfMolleker;566;GER;17;2000.10.26;;;0-1;0;20,381;563;0-1;0;23,098
PatrikNema;567;SVK;20;1997.10.25;90;191;0-0;0;10,725;564;0-0;0;18,757
NicholasS.Hu;568;USA;23;1994.04.24;84;183;0-0;0;3,574;474;0-0;0;17,643
VitKopriva;569;CZE;20;1997.06.15;69;178;0-0;0;3,600;474;0-0;0;26,351
TomislavJotovski;570;MKD;27;1990.10.27;;;0-0;0;10,263;510;0-3;0;53,291
MatthewBarton;571;AUS;26;1991.12.18;85;191;1-1;0;10,572;306;2-2;0;265,394
GregaZemlja;572;SLO;31;1986.09.29;81;183;2-1;0;30,789;43;49-52;0;1,242,858
LukeBambridge;573;GBR;22;1995.01.21;85;191;0-0;0;20,954;126;0-1;0;99,325
AndreGhem;574;BRA;35;1982.05.29;86;193;0-0;0;29,373;118;2-5;0;534,466
RonaldSlobodchikov;575;RUS;24;1993.12.04;73;178;0-0;0;8,665;575;0-0;0;27,743
OmarGiacalone;576;ITA;25;1992.01.11;77;180;0-0;0;4,746;325;0-0;0;78,793
DanyloKalenichenko;577;UKR;23;1994.02.02;78;188;0-0;0;10,007;488;0-1;0;36,281
ColinVanBeem;578;NED;25;1992.04.28;;;0-0;0;9,528;537;0-0;0;36,273
KevinKrawietz;579;GER;25;1992.01.24;83;191;0-3;0;29,108;106;0-10;0;187,319
BenjaminHassan;580;GER;22;1995.02.04;85;183;0-0;0;8,446;580;0-0;0;11,593
IvanEndara;581;ECU;29;1988.03.04;75;;0-1;0;9,414;367;5-8;0;122,584
JurabekKarimov;612;UZB;19;1998.06.04;75;193;0-0;0;11,044;582;0-1;0;37,444
YunseongChung;583;KOR;19;1998.03.27;78;178;0-0;0;10,906;521;0-0;0;30,923
EvanFurness;584;FRA;19;1998.08.13;68;;0-0;0;10,722;549;0-0;0;18,623
AlexiosHalebian;585;USA;23;1994.06.08;;;0-1;0;15,203;537;0-1;0;56,358
FedericoZeballos;586;BOL;29;1988.05.30;75;185;1-0;0;7,688;224;3-6;0;76,395
JonathanKanar;587;FRA;23;1994.09.19;72;180;0-0;0;4,734;333;0-0;0;35,739
AndreyGolubev;588;KAZ;30;1987.07.22;79;183;0-0;0;12,896;33;67-117;1;2,663,623
DenysMolchanov;589;UKR;30;1987.05.16;83;191;4-1;0;25,498;72;10-18;0;466,302
LamineOuahab;590;MAR;33;1984.12.22;83;185;0-0;0;7,286;114;15-16;0;441,743
OscarJoseGutierrez;591;BRA;24;1993.04.25;67;170;0-0;0;8,321;552;0-0;0;29,026
JuanCarlosSaez;592;CHI;26;1991.08.05;;;0-0;0;3,906;285;0-1;0;100,225
ShoKatayama;593;JPN;28;1989.05.12;;;0-0;0;3,883;374;0-0;0;46,951
PietroLicciardi;594;ITA;23;1994.05.17;;;0-0;0;3,491;414;0-0;0;47,577
DavidVegaHernandez;595;ESP;23;1994.06.23;78;188;0-0;0;12,465;166;0-0;0;85,835
GeorgeVonMassow;596;GER;27;1990.03.21;90;198;0-0;0;4,187;349;0-0;0;47,182
KarunudaySingh;597;IND;27;1990.11.19;80;180;0-0;0;3,580;493;0-0;0;57,528
MarcusWillis;598;GBR;27;1990.10.09;91;191;0-0;0;28,389;322;1-1;0;215,521
MaximeAuthom;599;BEL;30;1987.03.29;0;0;0-0;0;10,356;143;0-2;0;345,984
Marc-AndreaHuesler;600;SUI;21;1996.06.24;88;196;1-1;0;12,149;320;1-1;0;28,238
BenPatael;601;ISR;20;1997.06.02;80;188;0-0;0;9,569;499;0-1;0;24,181
YanSabanin;602;RUS;27;1990.01.31;88;191;0-0;0;8,730;599;0-0;0;42,053
DanteGennaro;603;ARG;24;1993.05.14;88;188;0-0;0;9,613;603;0-0;0;31,656
RobinStanek;604;CZE;22;1995.01.03;75;188;0-0;0;3,559;467;0-0;0;59,758
JosePereira;605;BRA;26;1991.01.26;74;180;0-0;0;3,102;260;0-0;0;136,998
DeitonBaughman;606;USA;21;1996.04.23;;;0-0;0;3,550;319;0-2;0;60,129
NicolaeFrunza;607;ROU;20;1997.11.15;78;185;0-1;0;7,602;442;0-1;0;24,344
ArjunKadhe;608;IND;23;1994.01.07;83;185;0-0;0;2,556;603;0-0;0;17,252
FrederikNielsen;609;DEN;34;1983.08.27;86;188;2-1;0;7,162;17;59-48;2;930,326
SamiReinwein;610;GER;25;1992.05.29;75;180;0-0;0;3,568;485;0-0;0;52,261
FrancoAgamenone;611;ARG;24;1993.04.15;82;188;0-0;0;10,473;177;0-0;0;52,088
KristianLozan;649;RUS;19;1998.10.26;79;188;0-0;0;8,756;612;0-0;0;12,520
WilliamBlumberg;613;USA;19;1998.01.26;84;188;0-0;0;15,795;603;0-0;0;24,509
ThiagoSeybothWild;614;BRA;17;2000.03.10;;;0-0;0;6,415;604;0-0;0;8,017
EricQuigley;615;USA;28;1989.01.30;84;185;0-0;0;2,922;190;0-1;0;122,680
YecongHe;616;CHN;23;1994.02.15;75;180;0-0;0;3,555;498;0-1;0;54,257
NathanPasha;617;USA;25;1992.07.15;85;191;0-0;0;6,705;285;0-1;0;41,767
XinGao;618;CHN;23;1994.05.12;80;180;0-0;0;10,200;210;0-0;0;88,127
VasileAntonescu;619;ROU;27;1990.03.24;82;183;0-0;0;4,459;391;0-0;0;47,665
SakethMyneni;620;IND;30;1987.10.19;85;193;0-1;0;4,235;113;5-5;0;261,171
AslanKaratsev;621;RUS;24;1993.09.04;;;0-0;0;8,479;153;1-7;0;251,702
AlexeiPopyrin;622;AUS;18;1999.08.05;78;196;0-0;0;10,676;613;0-0;0;15,368
Kuan-YiLee;623;TPE;21;1996.09.09;69;178;0-1;0;9,936;447;2-1;0;30,532
GregoireBarrere;624;FRA;23;1994.02.16;83;183;0-1;0;10,751;207;1-3;0;193,214
MarvinMoeller;625;GER;18;1999.01.18;69;178;0-0;0;6,673;619;0-1;0;19,140
HongChung;626;KOR;24;1993.05.16;76;170;0-1;0;2,886;464;0-2;0;38,193
ChristopherDiaz-Figueroa;627;GUA;27;1990.03.14;71;178;1-0;0;4,130;275;3-7;0;103,615
AlejandroGomez;628;COL;26;1991.08.14;83;188;0-0;0;6,699;352;1-1;0;49,358
YshaiOliel;629;ISR;17;2000.01.05;78;188;0-2;0;7,125;629;0-2;0;10,406
AlexanderKudryavtsev;630;RUS;32;1985.10.26;79;183;0-0;0;23,756;117;5-15;0;909,894
ZsomborPiros;631;HUN;18;1999.10.13;65;178;0-0;0;8,545;626;0-0;0;10,735
VladimirIvanov;632;EST;30;1987.04.10;;;2-1;0;9,545;310;7-5;0;92,177
NaokiNakagawa;633;JPN;21;1996.11.19;75;;0-0;0;10,477;531;0-0;0;25,928
YanaisLaurent;634;FRA;25;1992.06.06;;;0-0;0;4,922;425;0-0;0;38,291
MarekGengel;635;CZE;22;1995.09.17;78;185;0-0;0;4,867;416;0-0;0;18,905
WilsonLeite;636;BRA;26;1991.11.06;73;178;0-0;0;4,105;333;0-0;0;83,124
GavinVanPeperzeel;637;AUS;25;1992.03.29;74;180;0-0;0;4,535;237;0-0;0;106,753
RobertoMarcora;638;ITA;28;1989.08.30;88;193;0-1;0;12,698;178;0-1;0;141,316
MatthiasHaim;639;AUT;19;1998.01.11;;;0-0;0;2,908;562;0-0;0;12,698
DenysMylokostov;640;UKR;24;1993.04.05;;;0-0;0;7,536;458;0-0;0;36,677
LouisWessels;641;GER;19;1998.08.27;89;201;0-0;0;11,664;515;1-1;0;37,010
MiliaanNiesten;642;NED;29;1988.06.27;65;183;0-0;0;7,472;431;0-0;0;57,295
OlexiyKolisnyk;643;UKR;21;1996.04.30;;;0-0;0;4,691;409;0-0;0;24,104
AlexRybakov;644;USA;20;1997.01.27;73;185;0-0;0;7,576;584;0-0;0;20,883
Cheng-YuYu;645;TPE;22;1995.04.02;73;188;0-1;0;7,132;531;0-1;0;32,117
BillyHarris;646;GBR;22;1995.01.25;;;0-0;0;9,237;646;0-0;0;19,079
HugoNys;647;FRA;26;1991.02.16;77;185;5-8;0;77,511;86;5-9;0;175,875
DekelBar;648;ISR;24;1993.03.15;;;0-0;0;3,403;379;0-0;0;47,920
FilippoLeonardi;649;ITA;30;1987.12.22;;;0-0;0;8,725;526;0-0;0;73,167
AntonioMassara;650;ITA;22;1995.09.16;72;;0-0;0;8,871;465;0-0;0;35,431
IlyaVasilyev;651;RUS;21;1996.06.22;76;183;0-0;0;9,253;525;0-0;0;23,655
AndriejKapas;652;POL;28;1989.08.11;83;188;0-0;0;8,329;323;0-0;0;111,387
AlexanderZhurbin;653;RUS;25;1992.01.14;;;0-0;0;8,256;555;0-0;0;44,977
PereRiba;654;ESP;29;1988.04.07;78;183;0-0;0;6,723;65;24-62;0;1,362,843
EduardoStruvay;655;COL;27;1990.12.17;;;0-1;0;6,331;158;0-3;0;227,983
ManuelPenaLopez;656;ARG;19;1998.02.10;675;180;0-0;0;2,310;648;1-3;0;22,158
FrancescoVilardo;657;ITA;28;1989.12.28;70;178;0-0;0;4,223;413;0-0;0;53,793
JeffreyJohnWolf;658;USA;19;1998.12.21;;;0-0;0;13,476;654;0-0;0;22,576
YukiMochizuki;659;JPN;20;1997.11.23;60;173;0-0;0;4,859;654;0-0;0;6,271
KristijanMesaros;660;CRO;29;1988.07.02;89;188;0-0;0;15,654;184;0-1;0;160,507
YannMarti;661;SUI;29;1988.06.07;74;173;0-0;0;5,897;200;2-5;0;162,128
BornaGojo;662;CRO;19;1998.02.27;90;201;0-0;0;7,451;596;0-0;0;14,105
MatiasZukas;663;ARG;21;1996.05.04;72;183;0-0;0;4,098;399;0-0;0;35,426
DaniiarDuldaev;664;KGZ;25;1992.10.27;80;183;0-0;0;4,101;484;0-0;0;40,333
PaulWoerner;665;GER;21;1996.08.23;;;0-0;0;8,786;651;0-0;0;20,145
JavierBarrancoCosano;666;ESP;19;1998.11.17;;;0-0;0;4,123;579;0-0;0;18,335
NicolasSantos;667;BRA;29;1988.01.05;80;183;0-0;0;2,990;349;0-0;0;85,469
AnisGhorbel;668;TUN;28;1989.04.24;;;0-1;0;6,987;288;1-1;0;37,339
GustavHansson;669;SWE;22;1995.04.15;;;0-0;0;4,871;662;0-0;0;8,684
EmilRuusuvuori;670;FIN;18;1999.04.02;75;185;0-1;0;5,206;664;0-1;0;6,635
YoungSeokKim;671;KOR;22;1995.05.12;;;0-0;0;5,515;469;0-0;0;29,174
ShalvaDzhanashia;672;RUS;25;1992.08.26;82;178;0-0;0;4,882;672;0-0;0;12,337
MilanDrinic;673;SRB;20;1997.10.16;75;185;0-0;0;7,224;650;0-0;0;12,954
JuanManuelBenitezChavarriaga;674;COL;22;1995.09.22;77;;0-0;0;5,807;594;0-0;0;22,168
BlakeEllis;675;AUS;18;1999.01.06;75;191;0-0;0;7,293;673;0-0;0;13,662
RichardGabb;676;GBR;25;1992.02.12;80;175;0-0;0;2,832;263;0-0;0;80,105
RyanJamesStorrie;677;GBR;19;1998.02.28;;;0-0;0;12,344;674;0-0;0;14,920
FredSimonsson;678;SWE;23;1994.11.27;75;188;0-1;0;5,721;195;3-9;0;52,590
WalterTrusendi;679;ITA;32;1985.01.03;;;0-0;0;7,592;161;0-0;0;173,973
FlorentDiep;680;FRA;26;1991.09.24;80;191;0-0;0;9,256;656;0-0;0;39,422
FrancoEmanuelEgea;681;ARG;21;1996.01.01;82;;0-0;0;6,988;611;0-0;0;23,920
GibrilDiarra;682;AUT;27;1990.05.26;85;196;0-0;0;9,662;594;0-0;0;39,032
FabianoDePaula;683;BRA;29;1988.11.28;78;178;0-0;0;15,401;128;0-3;0;171,547
JaroslavPospisil;684;CZE;36;1981.02.09;72;178;0-0;0;5,827;103;1-7;0;530,993
YuyaKibi;685;JPN;31;1986.07.23;77;180;0-0;0;4,690;357;0-0;0;92,961
AnilYuksel;686;TUR;27;1990.05.19;78;;0-0;0;4,644;471;0-1;0;76,933
DejanKatic;687;SRB;29;1988.03.07;;;0-0;0;7,089;506;0-0;0;50,005
DavidJordaSanchis;688;ESP;23;1994.06.14;;;0-0;0;8,323;684;0-0;0;18,570
LaurentRochette;689;FRA;29;1988.02.05;79;183;0-0;0;4,236;202;0-0;0;181,969
KarueSell;690;BRA;24;1993.11.13;81;183;0-0;0;5,438;686;0-0;0;8,803
HenryCraig;691;USA;23;1994.10.10;76;175;0-0;0;6,308;688;0-0;0;8,804
HaadinSalimBava;689;IND;23;1994.12.03;;;0-0;0;6,376;668;0-0;0;14,636
RiccardoBalzerani;693;ITA;19;1998.10.25;80;185;0-0;0;8,669;678;0-0;0;12,274
MaximePauwels;694;BEL;19;1998.07.31;;;0-0;0;6,783;694;0-0;0;9,781
OliverGolding;695;GBR;24;1993.09.29;84;188;0-0;0;4,104;327;0-3;0;99,692
MikaelTorpegaard;696;DEN;23;1994.05.08;85;;0-0;0;2,490;360;0-0;0;28,865
AmineAhouda;697;MAR;20;1997.09.11;76;185;2-3;0;11,449;668;2-4;0;32,019
TomJomby;698;FRA;26;1991.02.18;96;198;0-0;0;7,509;337;0-0;0;35,563
RaphaelBaltensperger;699;SUI;20;1997.12.18;78;185;0-0;0;7,565;676;0-0;0;13,992
MichielDeKrom;700;NED;19;1998.06.27;;;0-0;0;3,368;564;0-0;0;12,645
DominikBoehler;701;GER;21;1996.02.21;;;0-0;0;7,310;648;0-0;0;17,330
AntoineBellier;702;SUI;21;1996.10.18;80;196;0-1;0;4,204;382;0-3;0;49,656
HarriHeliovaara;703;FIN;28;1989.06.04;82;188;2-0;0;1,719;128;3-6;0;122,662
AndreGasparMurta;704;POR;23;1994.08.08;84;193;0-0;0;5,488;480;1-0;0;46,296
PatrickKypson;705;USA;18;1999.10.28;79;188;0-1;0;55,897;672;0-1;0;58,749
TakKhunnWang;706;FRA;26;1991.10.13;;;0-0;0;5,570;265;0-0;0;81,876
GianMarcoMoroni;707;ITA;19;1998.02.13;85;185;0-0;0;2,924;584;0-0;0;16,646
MaratDeviatiarov;708;UKR;23;1994.04.19;78;191;0-0;0;4,097;313;0-0;0;47,176
RomanKhassanov;709;KAZ;21;1996.09.07;84;191;0-0;0;8,184;688;0-0;0;28,253
JuanLizariturry;710;ESP;26;1991.04.20;;;0-0;0;3,516;329;0-0;0;83,856
ErikCrepaldi;711;ITA;27;1990.05.04;;;0-0;0;5,669;236;0-0;0;122,325
JaumePlaMalfeito;712;ESP;22;1995.06.03;73;;0-0;0;5,809;314;0-0;0;47,736
RuanRoelofse;713;RSA;28;1989.11.18;98;188;3-0;0;16,357;122;8-3;0;129,158
MartinRedlicki;714;USA;22;1995.08.24;91;196;0-0;0;5,594;714;0-0;0;26,544
PetrNouza;715;CZE;19;1998.09.09;86;193;0-0;0;2,218;708;0-0;0;9,960
MichalDembek;716;POL;20;1997.08.07;92;198;0-0;0;4,163;476;0-0;0;23,482
SantiagoFaRodriguezTaverna;717;ARG;18;1999.07.16;80;188;0-0;0;7,277;707;0-0;0;17,338
AlbertAlcarazIvorra;718;ESP;22;1995.05.15;85;191;0-0;0;7,862;377;0-0;0;54,113
ChristianHirschmueller;719;GER;24;1993.03.11;87;198;0-0;0;7,268;671;0-0;0;25,943
LukasOllert;720;GER;25;1992.11.25;70;175;0-0;0;7,589;664;0-0;0;15,641
AlexanderIgoshin;721;RUS;25;1992.01.10;92;191;0-0;0;3,645;226;0-0;0;53,862
RedaElAmrani;722;MAR;29;1988.05.19;82;185;4-2;0;10,707;160;10-9;0;167,278
OrlandoLuz;723;BRA;19;1998.02.08;78;180;0-0;0;2,934;419;0-1;0;45,241
JulianOcleppo;724;ITA;20;1997.08.01;80;;0-0;0;5,845;264;0-0;0;24,866
MauricioEchazu;725;PER;28;1989.01.21;;;0-1;0;3,327;376;0-1;0;105,032
NermanFatic;726;BIH;23;1994.10.24;86;191;0-0;0;6,501;587;2-2;0;33,297
ManuelGuinard;727;FRA;22;1995.11.15;79;198;0-0;0;7,347;727;0-0;0;14,443
BernardoSaraiva;728;POR;24;1993.08.06;73;188;0-0;0;6,105;306;0-0;0;20,113
ShaneVinsant;729;USA;24;1993.10.25;77;185;0-0;0;3,769;637;0-0;0;21,371
MasatoShiga;730;JPN;26;1991.08.08;;;0-0;0;3,015;632;0-0;0;41,187
JacopoStefanini;731;ITA;21;1996.04.11;73;175;0-0;0;4,519;364;0-0;0;27,459
IssamHaithamTaweel;732;EGY;28;1989.07.10;;;0-0;0;4,452;393;0-2;0;60,294
MarcelFelder;733;URU;33;1984.07.09;64;;0-0;0;6,162;82;14-16;0;234,872
BenjaminMitchell;734;AUS;25;1992.11.30;80;183;0-0;0;4,830;204;0-5;0;296,202
OrRam-Harel;735;ISR;22;1995.02.01;;;0-0;0;5,170;732;0-0;0;13,208
PhilipBester;736;CAN;29;1988.10.06;79;188;0-1;0;5,589;140;1-8;0;272,057
ArturShakhnubaryan;737;RUS;21;1996.08.16;68;170;0-0;0;4,944;735;0-0;0;8,528
LucaMargaroli;738;SUI;25;1992.02.15;81;183;0-3;0;22,278;130;1-6;0;88,922
JordanCorreia;739;BRA;20;1997.07.05;;;0-0;0;5,743;731;0-0;0;10,665
KirillKivattsev;740;RUS;20;1997.10.10;83;193;0-0;0;6,138;738;0-0;0;12,459
NeilPauffley;741;GBR;27;1990.03.29;80;188;0-0;0;12,910;406;0-0;0;66,979
MarceloZormann;742;BRA;21;1996.06.10;80;180;0-0;0;5,379;273;0-0;0;44,783
AryanGoveas;743;IND;19;1998.07.09;;;0-0;0;7,646;679;0-0;0;14,850
ChristophNegritu;744;GER;23;1994.03.21;79;193;0-0;0;2,493;430;0-0;0;27,350
AndreBegemann;745;GER;33;1984.07.12;90;188;8-17;0;90,288;36;86-95;4;733,577
StephanFransen;746;NED;29;1988.08.08;;;0-0;0;3,592;744;0-0;0;64,446
KaitoUesugi;747;JPN;22;1995.06.02;70;180;0-0;0;1,623;640;0-0;0;11,318
CarlSoderlund;748;SWE;20;1997.06.03;80;188;0-0;0;5,215;387;1-1;0;26,572
AdamChadaj;749;POL;33;1984.05.01;72;178;0-0;0;4,640;202;3-1;0;152,141
VitalyKozyukov;750;RUS;23;1994.06.02;82;188;0-0;0;4,305;536;0-0;0;27,649
JeaMoonLee;751;KOR;24;1993.07.02;;;0-2;0;3,111;431;0-2;0;15,452
AntonZaitcev;752;RUS;30;1987.07.22;71;180;0-0;0;4,065;296;0-0;0;67,355
AlexandarLazarov;753;BUL;20;1997.11.06;72;188;0-1;0;11,235;541;2-3;0;19,528
PavelNejedly;754;CZE;24;1993.02.13;76;180;0-0;0;6,228;604;0-0;0;24,933
FernandoRomboli;755;BRA;28;1989.01.04;81;180;0-0;0;9,386;153;0-1;0;202,477
JaimeFermosellDelgado;756;ESP;20;1997.12.06;65;178;0-0;0;7,698;754;0-0;0;18,812
MarkosKalovelonis;757;RUS;23;1994.05.18;88;;0-0;0;3,609;290;0-2;0;55,593
VolodoymyrUzhylovskyi;742;UKR;29;1988.03.25;105;196;0-0;0;10,519;200;0-0;0;64,845
CarlosSalamanca;759;COL;34;1983.01.15;83;196;0-0;0;3,360;137;3-5;0;338,323
CollinAltamirano;760;USA;22;1995.12.07;84;188;0-0;0;4,071;732;0-1;0;59,488
Tae-WooLee;761;KOR;26;1991.12.19;;;0-0;0;3,810;761;0-0;0;6,093
CaioZampieri;762;BRA;31;1986.05.27;79;183;0-0;0;7,145;114;0-1;0;292,766
SamRiffice;763;USA;18;1999.03.01;;;0-0;0;4,856;756;0-0;0;6,438
JulienDubail;764;BEL;29;1988.02.14;78;193;0-0;0;5,725;371;0-0;0;85,064
BastianMalla;765;CHI;21;1996.09.22;;;0-0;0;4,080;362;0-0;0;45,691
GiovanniFonio;766;ITA;19;1998.05.07;;;0-0;0;5,835;766;0-0;0;9,038
ThomasFancutt;767;AUS;22;1995.02.25;87;191;0-0;0;7,286;604;0-0;0;30,701
DenisMatsukevich;768;RUS;31;1986.03.28;80;191;0-0;0;5,408;155;1-2;0;263,067
VadymUrsu;769;UKR;20;1997.01.01;71;183;0-0;0;3,121;508;0-0;0;26,513
DomagojBiljesko;770;CRO;20;1997.06.28;;;0-0;0;2,925;528;0-0;0;17,514
KenOnishi;771;JPN;21;1996.02.18;67;170;0-0;0;6,112;684;0-0;0;18,994
JakobSude;772;GER;26;1991.06.18;89;193;0-0;0;4,499;326;0-0;0;29,162
DavidPoljak;773;CZE;21;1996.05.17;76;188;0-0;0;3,326;667;0-0;0;27,617
Seong-chanHong;774;KOR;20;1997.06.30;65;175;0-2;0;7,549;343;2-4;0;30,006
AzizDougaz;775;TUN;20;1997.03.26;77;188;0-0;0;2,362;626;0-0;0;17,880
AdamElMihdawy;776;USA;28;1989.08.09;;;0-0;0;7,004;281;0-0;0;139,634
PeterHeller;777;GER;25;1992.08.12;75;188;0-0;0;1,767;562;0-0;0;52,385
DujeKekez;778;CRO;24;1993.03.30;;;0-0;0;6,283;422;0-0;0;51,498
JaimePulgar-Garcia;779;ESP;28;1989.04.05;;;0-0;0;3,444;274;0-0;0;71,101
CameronSilverman;780;USA;25;1992.05.11;79;185;0-0;0;2,418;378;0-0;0;23,625
HunterCallahan;781;USA;25;1992.12.21;77;191;0-0;0;4,802;388;0-0;0;21,043
GonzaloVillanueva;782;ARG;22;1995.01.13;70;175;0-0;0;3,005;700;0-0;0;33,586
MikhailKorovin;783;RUS;21;1996.02.26;65;180;0-0;0;7,053;783;0-0;0;14,484
JuanSebastianGomez;785;COL;25;1992.03.05;;;0-0;0;3,734;469;0-0;0;71,605
PruchyaIsaro;786;THA;22;1995.10.16;70;175;0-0;0;2,502;313;2-1;0;31,542
EvanZhu;787;USA;19;1998.08.15;70;185;0-0;0;5,890;787;0-0;0;10,215
TimurKhabibulin;788;KAZ;22;1995.08.02;83;185;1-0;0;7,832;219;1-0;0;44,564
JeremyBeale;789;AUS;23;1994.10.04;83;193;0-0;0;5,146;721;0-0;0;16,777
ClaudioFortuna;790;ITA;27;1990.04.19;;;0-0;0;4,959;384;0-0;0;64,501
BenjaminSigouin;791;CAN;18;1999.06.03;73;193;0-0;0;10,763;782;0-0;0;18,449
MatejSabanov;792;CRO;25;1992.06.25;74;180;0-0;0;8,858;203;0-0;0;51,086
JorgeMontero;793;CHI;27;1990.09.21;;;0-0;0;3,443;339;0-0;0;50,150
SebastienBoltz;794;FRA;24;1993.04.05;74;178;0-0;0;6,629;276;0-0;0;62,323
PavelKrainik;795;CAN;25;1992.09.28;;;0-0;0;8,736;624;0-0;0;54,456
NielsLootsma;796;NED;23;1994.08.15;78;193;0-1;0;7,679;252;0-1;0;51,305
OlegKhotkov;797;UKR;27;1990.03.11;;;0-0;0;7,665;781;0-0;0;18,712
ChristopherRungkat;798;INA;27;1990.01.14;68;175;1-1;0;21,938;119;11-6;0;130,147
YusukeWatanuki;799;JPN;27;1990.05.20;64;168;0-0;0;1,914;520;0-0;0;47,753
AlexanderErler;800;AUT;20;1997.10.27;;;0-0;0;2,466;621;0-1;0;12,330
MikhailFufygin;801;RUS;27;1990.05.13;;;0-0;0;2,500;277;0-0;0;68,417
BogdanBorza;802;ROU;20;1997.04.05;;;0-2;0;5,582;707;0-2;0;16,408
KevinGriekspoor;803;NED;26;1991.01.10;82;193;0-0;0;5,352;655;0-0;0;26,730
ViktorFilipenko;804;HUN;26;1991.09.25;;;0-0;0;2,603;709;0-0;0;28,090
JumpeiYamasaki;805;JPN;20;1997.07.02;75;180;0-0;0;5,927;577;0-0;0;18,400
SemVerbeek;806;NED;23;1994.04.12;83;193;0-0;0;7,478;257;0-0;0;18,190
NicolaGhedin;807;ITA;29;1988.09.26;74;175;0-0;0;6,298;450;0-0;0;48,277
GiovanniLapentti;808;ECU;34;1983.01.25;91;193;1-1;0;8,386;110;19-37;0;588,402
AntalVanDerDuim;809;NED;30;1987.09.16;80;185;0-0;0;3,776;214;0-1;0;199,933
FelipeMartinezSarrasague;810;ARG;20;1997.04.02;81;178;0-0;0;3,775;804;0-0;0;6,359
ZihaoXia;811;CHN;20;1997.01.30;76;;0-0;0;3,090;676;0-0;0;23,043
GeronimoEspinBusleiman;812;ARG;20;1997.12.02;;;0-0;0;3,984;812;0-0;0;7,618
WilSpencer;813;USA;28;1989.09.08;69;183;0-0;0;6,637;478;0-0;0;33,897
SebastianPrechtel;814;GER;21;1996.05.14;;;0-0;0;4,554;791;0-0;0;12,118
PatrikBrydolf;815;SWE;26;1991.11.27;;;0-0;0;5,154;523;0-0;0;45,707
TimurKiyamov;816;RUS;21;1996.10.30;;;0-0;0;4,911;813;0-0;0;18,274
Petru-AlexandruLuncanu;817;ROU;28;1989.05.07;80;185;0-0;0;3,019;286;0-3;0;146,026
RigeleTe;818;CHN;20;1997.10.09;80;188;0-0;0;16,052;629;0-0;0;43,405
GabrielPetit;819;FRA;22;1995.08.22;;;0-0;0;5,317;817;0-0;0;15,518
RicardoRodriguez-Pace;820;VEN;24;1993.04.28;;;2-2;0;6,859;282;17-8;0;74,135
BogdanBobrov;821;RUS;20;1997.09.16;74;185;0-0;0;6,494;803;0-0;0;16,123
PeterBothwell;822;IRL;22;1995.09.28;;;0-0;0;3,064;493;0-0;0;20,603
NicoloTurchetti;823;ITA;21;1996.05.29;68;180;0-0;0;2,139;807;0-0;0;15,350
FlorianFallert;824;GER;25;1992.05.25;73;183;0-0;0;6,685;412;0-0;0;48,342
SergioMartosGornes;825;ESP;23;1994.10.19;80;185;0-0;0;9,294;220;0-0;0;46,045
YuriiDzhavakian;826;UKR;24;1993.05.07;80;;0-0;0;7,049;704;0-0;0;19,918
TristanMeraut;827;FRA;22;1995.12.27;80;185;0-0;0;2,990;827;0-0;0;5,276
JonasLuetjen;828;GER;27;1990.08.13;82;188;0-0;0;1,312;536;0-0;0;27,685
RyanHaviland;829;USA;37;1980.12.12;82;188;0-0;0;3,686;516;0-0;0;27,919
Min-KyuSong;830;KOR;27;1990.08.25;77;183;0-0;0;1,836;417;0-2;0;26,304
NikRazborsek;831;SLO;24;1993.10.04;68;175;0-0;0;4,140;521;0-2;0;28,163
TomKocevar-Desman;832;SLO;27;1990.07.10;77;180;0-0;0;4,544;349;1-4;0;43,690
GermainGigounon;833;BEL;28;1989.04.20;73;178;0-0;0;5,020;185;0-1;0;214,908
DanielAppelgren;834;SWE;21;1996.05.06;67;175;0-0;0;5,585;695;0-0;0;20,944
IgorMarcondes;822;BRA;20;1997.06.16;72;185;0-0;0;2,604;526;0-0;0;15,753
LucasGomez;836;MEX;22;1995.08.11;72;178;0-0;0;2,656;580;0-0;0;71,866
RicardoHocevar;837;BRA;32;1985.05.09;80;180;0-0;0;5,262;149;0-5;0;363,656
